ingredient,drug_b,severity,side_effects,mechanism,clinical_action,confidence,created_at
limitedetizolam,lorazepam,Major,"Increased sedation, respiratory depression, and risk of overdose.",Both are benzodiazepines with additive CNS depressant effects.,"Avoid co-administration; if unavoidable, use lowest doses and monitor closely for sedation and respiratory depression.",1,2026-05-13
limitedetizolam,clonazepam,Major,"Increased sedation, respiratory depression, and risk of overdose.",Both are benzodiazepines with additive CNS depressant effects.,"Avoid co-administration; if unavoidable, use lowest doses and monitor closely for sedation and respiratory depression.",1,2026-05-13
limitedetizolam,midazolam,Major,"Increased sedation, respiratory depression, and risk of overdose.",Both are benzodiazepines with additive CNS depressant effects.,"Avoid co-administration; if unavoidable, use lowest doses and monitor closely for sedation and respiratory depression.",1,2026-05-13
limitedetizolam,zolpidem,Major,Increased sedation and cognitive impairment.,Additive CNS depressant effects.,Monitor for excessive sedation and impaired cognition.,1,2026-05-13
limitedetizolam,tramadol,Moderate,"Increased sedation, dizziness, and risk of respiratory depression.",Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression.,1,2026-05-13
limitedetizolam,codeine,Moderate,"Increased sedation, dizziness, and risk of respiratory depression.",Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression.,1,2026-05-13
limitedetizolam,morphine,Moderate,"Increased sedation, dizziness, and risk of respiratory depression.",Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression.,1,2026-05-13
limitedetizolam,amitriptyline,Moderate,Increased sedation and anticholinergic effects.,Additive CNS depressant and anticholinergic effects.,Monitor for increased sedation and anticholinergic side effects.,1,2026-05-13
limitedetizolam,alcohol,Major,"Severe sedation, respiratory depression, coma, and death.",Synergistic CNS depressant effects.,Avoid alcohol completely.,1,2026-05-13
lynestrenol,,,,,,1,2026-05-13
limitedenoxaparin,aspirin,Moderate,Increased risk of bleeding.,Additive antiplatelet and anticoagulant effects.,Monitor for signs of bleeding; use with caution.,1,2026-05-13
limitedenoxaparin,ibuprofen,Moderate,Increased risk of bleeding.,Additive antiplatelet and anticoagulant effects.,Monitor for signs of bleeding; use with caution.,1,2026-05-13
limitedenoxaparin,warfarin,Major,Markedly increased risk of bleeding.,Both are anticoagulants with additive effects.,"Avoid concomitant use; if necessary, monitor INR very closely and adjust doses of both agents carefully.",1,2026-05-13
limitedenoxaparin,clopidogrel,Major,Increased risk of bleeding.,Additive antiplatelet and anticoagulant effects.,Monitor for signs of bleeding; use with caution.,1,2026-05-13
methylcobalamin/mecobalamin,,,,,,1,2026-05-13
phasphate,atorvastatin,Minor,Reduced absorption of phosphate supplements.,"Phosphate can bind to statins, potentially reducing their absorption.",Separate administration of phosphate and atorvastatin by at least 2 hours.,1,2026-05-13
phasphate,rosuvastatin,Minor,Reduced absorption of phosphate supplements.,"Phosphate can bind to statins, potentially reducing their absorption.",Separate administration of phosphate and rosuvastatin by at least 2 hours.,1,2026-05-13
phasphate,metformin,Minor,Increased risk of hypophosphatemia.,"Phosphate binders can reduce phosphate absorption, and metformin can also rarely lead to hypophosphatemia.",Monitor phosphate levels if patient is on both.,1,2026-05-13
besifloxacin,metformin,Moderate,Increased risk of lactic acidosis.,Fluoroquinolones may interfere with renal excretion of metformin.,Monitor renal function and blood glucose closely; consider alternative antibiotic if necessary.,1,2026-05-13
streptococcus faecalis,,,,,,1,2026-05-13
clostridium butryricum,,,,,,1,2026-05-13
bacillus mesentericus,,,,,,1,2026-05-13
health care llptelmisartan,spironolactone,Moderate,Increased risk of hyperkalemia.,Both drugs increase potassium levels.,Monitor potassium levels closely and consider alternative diuretic.,1,2026-05-13
health care llptelmisartan,furosemide,Minor,May slightly reduce telmisartan's blood pressure lowering effect.,"Diuretics can affect fluid volume and electrolytes, potentially impacting RAAS system response.",Monitor blood pressure and renal function.,1,2026-05-13
health care llptelmisartan,ibuprofen,Moderate,Increased risk of renal impairment and reduced antihypertensive effect.,"NSAIDs can inhibit prostaglandin synthesis, reducing renal blood flow and counteracting the effects of ACE inhibitors/ARBs.","Avoid concurrent use or use with caution, monitor renal function.",1,2026-05-13
health care llptelmisartan,aspirin,Minor,May slightly reduce the antihypertensive effect of telmisartan.,"Low-dose aspirin might have minimal impact on RAAS, but high doses can affect renal function.",Monitor blood pressure.,1,2026-05-13
moon,,,,,,1,2026-05-13
trimethoprim combinations,methotrexate,Major,"Increased risk of methotrexate toxicity (myelosuppression, mucositis, renal dysfunction).","Trimethoprim inhibits dihydrofolate reductase, similar to methotrexate, leading to additive folate deficiency.",Avoid concurrent use or monitor methotrexate levels and blood counts very closely.,1,2026-05-13
trimethoprim combinations,warfarin,Moderate,Increased risk of bleeding.,"Trimethoprim can inhibit CYP2C9, the enzyme that metabolizes warfarin, leading to higher warfarin levels.",Monitor INR closely and consider dose adjustment of warfarin.,1,2026-05-13
trimethoprim combinations,spironolactone,Moderate,Increased risk of hyperkalemia.,"Trimethoprim has a potassium-sparing effect, similar to other potassium-sparing diuretics.",Monitor potassium levels closely.,1,2026-05-13
trimethoprim combinations,ramipril,Moderate,Increased risk of hyperkalemia.,Both trimethoprim and ACE inhibitors can increase potassium levels.,Monitor potassium levels closely.,1,2026-05-13
trimethoprim combinations,losartan,Moderate,Increased risk of hyperkalemia.,Both trimethoprim and ARBs can increase potassium levels.,Monitor potassium levels closely.,1,2026-05-13
trimethoprim combinations,metformin,Minor,Slightly increased risk of lactic acidosis.,Trimethoprim can inhibit renal excretion of metformin.,Monitor renal function and for signs of lactic acidosis.,1,2026-05-13
micronised purified flavonoid fraction,,,,,,1,2026-05-13
thioguanine,allopurinol,Major,"Increased risk of thioguanine toxicity (myelosuppression, hepatotoxicity).","Allopurinol inhibits xanthine oxidase, the enzyme that metabolizes thioguanine, leading to higher thioguanine levels.",Avoid concurrent use or reduce thioguanine dose and monitor blood counts and liver function.,1,2026-05-13
cadsol life sciences llprosuvastatin,itraconazole,Major,Increased risk of myopathy and rhabdomyolysis.,"Itraconazole is a potent inhibitor of CYP3A4, which metabolizes rosuvastatin, leading to significantly elevated rosuvastatin levels.","Avoid concurrent use. If unavoidable, monitor for muscle pain and weakness, and consider reducing rosuvastatin dose.",1,2026-05-13
cadsol life sciences llprosuvastatin,cyclosporine,Major,Significantly increased rosuvastatin levels and risk of myopathy.,"Cyclosporine inhibits OATP1B1 transporter, which is responsible for rosuvastatin uptake into the liver, increasing systemic exposure.",Avoid concurrent use or significantly reduce rosuvastatin dose and monitor for muscle symptoms.,1,2026-05-13
cadsol life sciences llprosuvastatin,gemfibrozil,Major,Increased risk of myopathy and rhabdomyolysis.,Gemfibrozil increases rosuvastatin levels and has its own myotoxic potential.,"Avoid concurrent use. If unavoidable, use rosuvastatin at a lower dose and monitor closely.",1,2026-05-13
cadsol life sciences llprosuvastatin,fibrates (other than gemfibrozil),Moderate,Increased risk of myopathy.,Fibrates can increase rosuvastatin levels and have myotoxic potential.,Use with caution and monitor for muscle pain or weakness.,1,2026-05-13
cadsol life sciences llprosuvastatin,amiodarone,Moderate,Increased risk of myopathy.,"Amiodarone can inhibit CYP3A4 and OATP1B1, leading to increased rosuvastatin levels.",Use with caution and monitor for muscle pain or weakness.,1,2026-05-13
cadsol life sciences llprosuvastatin,ritonavir,Moderate,Increased rosuvastatin levels and risk of myopathy.,"Ritonavir is a strong CYP3A4 inhibitor, increasing rosuvastatin levels.",Use with caution and monitor for muscle pain or weakness.,1,2026-05-13
renwick health care llpprogesterone,rifampicin,Moderate,Reduced effectiveness of progesterone.,Rifampicin is a potent inducer of hepatic enzymes (CYP3A4) that metabolize progesterone.,Consider alternative contraception or increased progesterone dose if concurrently used.,1,2026-05-13
renwick health care llpprogesterone,phenytoin,Moderate,Reduced effectiveness of progesterone.,Phenytoin is an enzyme inducer that increases progesterone metabolism.,Consider alternative contraception or increased progesterone dose if concurrently used.,1,2026-05-13
renwick health care llpprogesterone,carbamazepine,Moderate,Reduced effectiveness of progesterone.,Carbamazepine is an enzyme inducer that increases progesterone metabolism.,Consider alternative contraception or increased progesterone dose if concurrently used.,1,2026-05-13
renwick health care llpprogesterone,topiramate,Moderate,Reduced effectiveness of progesterone.,Topiramate is an enzyme inducer that increases progesterone metabolism.,Consider alternative contraception or increased progesterone dose if concurrently used.,1,2026-05-13
overseasgatifloxacin,warfarin,Moderate,Increased risk of bleeding.,"Fluoroquinolones can potentiate the anticoagulant effect of warfarin, although the exact mechanism is not fully understood.",Monitor INR closely and consider warfarin dose adjustment.,1,2026-05-13
overseasgatifloxacin,metformin,Moderate,Increased risk of hypoglycemia.,Fluoroquinolones can affect glucose metabolism and potentially potentiate the hypoglycemic effects of metformin.,Monitor blood glucose levels closely.,1,2026-05-13
overseasgatifloxacin,amiodarone,Major,Increased risk of QT prolongation and arrhythmias.,"Gatifloxacin has a risk of QT prolongation, and amiodarone is also a QT-prolonging agent.","Avoid concurrent use. If unavoidable, monitor ECG and electrolytes closely.",1,2026-05-13
overseasgatifloxacin,digoxin,Minor,May slightly increase digoxin levels.,Fluoroquinolones can interfere with P-glycoprotein-mediated transport of digoxin.,Monitor digoxin levels and for signs of toxicity.,1,2026-05-13
overseasgatifloxacin,"corticosteroids (e.g., prednisolone, dexamethasone)",Moderate,Increased risk of tendon rupture.,Both fluoroquinolones and corticosteroids have been associated with an increased risk of tendonitis and tendon rupture.,Use with caution and monitor for signs of tendon pain or rupture.,1,2026-05-13
mandeliic acid,,,,,,1,2026-05-13
sulfadimidine,,,,,,1,2026-05-13
jupiter biolabs private limitedmethylcobalamin,,,,,,1,2026-05-13
overseaslactulose,,,,,,1,2026-05-13
kalmegh dry extract,,,,,,1,2026-05-13
limitedferrous ascorbate,ciprofloxacin,Moderate,Reduced absorption of ciprofloxacin.,"Ferrous ions chelate with fluoroquinolones, decreasing their bioavailability.",Separate administration by at least 2 hours.,1,2026-05-13
limitedferrous ascorbate,levofloxacin,Moderate,Reduced absorption of levofloxacin.,"Ferrous ions chelate with fluoroquinolones, decreasing their bioavailability.",Separate administration by at least 2 hours.,1,2026-05-13
limitedferrous ascorbate,tetracycline,Moderate,Reduced absorption of tetracycline.,"Ferrous ions chelate with tetracyclines, decreasing their bioavailability.",Separate administration by at least 2 hours.,1,2026-05-13
limitedferrous ascorbate,doxycycline,Moderate,Reduced absorption of doxycycline.,"Ferrous ions chelate with tetracyclines, decreasing their bioavailability.",Separate administration by at least 2 hours.,1,2026-05-13
ecranip drugs,,,,,,1,2026-05-13
limitedtramadol,diazepam,Moderate,Increased sedation and respiratory depression.,Potentiation of CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment.,1,2026-05-13
limitedtramadol,alprazolam,Moderate,Increased sedation and respiratory depression.,Potentiation of CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment.,1,2026-05-13
limitedtramadol,lorazepam,Moderate,Increased sedation and respiratory depression.,Potentiation of CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment.,1,2026-05-13
limitedtramadol,clonazepam,Moderate,Increased sedation and respiratory depression.,Potentiation of CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment.,1,2026-05-13
limitedtramadol,midazolam,Moderate,Increased sedation and respiratory depression.,Potentiation of CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment.,1,2026-05-13
limitedtramadol,sertraline,Moderate,Increased risk of serotonin syndrome.,Tramadol has serotonergic activity.,Monitor for signs of serotonin syndrome; consider alternative analgesics.,1,2026-05-13
limitedtramadol,fluoxetine,Moderate,Increased risk of serotonin syndrome.,Tramadol has serotonergic activity.,Monitor for signs of serotonin syndrome; consider alternative analgesics.,1,2026-05-13
limitedtramadol,amitriptyline,Moderate,Increased risk of serotonin syndrome.,Tramadol has serotonergic activity.,Monitor for signs of serotonin syndrome; consider alternative analgesics.,1,2026-05-13
limitedtramadol,warfarin,Moderate,Increased risk of bleeding.,Tramadol may affect platelet aggregation and affect INR.,Monitor INR closely; consider alternative analgesics.,1,2026-05-13
limitedtramadol,metformin,Minor,Increased risk of hypoglycemia.,Tramadol may affect glucose metabolism.,Monitor blood glucose levels closely.,1,2026-05-13
coumarin,aspirin,Moderate,Increased risk of bleeding.,Additive antiplatelet and anticoagulant effects.,Monitor for signs of bleeding; consider alternative analgesics or anticoagulants.,1,2026-05-13
coumarin,ibuprofen,Moderate,Increased risk of bleeding.,Additive antiplatelet and anticoagulant effects.,Monitor for signs of bleeding; consider alternative analgesics or anticoagulants.,1,2026-05-13
coumarin,clopidogrel,Major,Significantly increased risk of bleeding.,Additive antiplatelet and anticoagulant effects.,Avoid co-administration; use alternative agents.,1,2026-05-13
coumarin,metronidazole,Moderate,Increased risk of bleeding.,Metronidazole can inhibit warfarin metabolism and affect clotting factors.,Monitor INR closely; consider alternative antibiotics.,1,2026-05-13
coumarin,amiodarone,Moderate,Increased risk of bleeding.,Amiodarone inhibits warfarin metabolism.,Monitor INR closely; consider dose reduction of warfarin.,1,2026-05-13
coumarin,fluconazole,Moderate,Increased risk of bleeding.,Fluconazole inhibits warfarin metabolism.,Monitor INR closely; consider dose reduction of warfarin.,1,2026-05-13
coumarin,omeprazole,Minor,May slightly increase INR.,Omeprazole can inhibit warfarin metabolism.,Monitor INR closely.,1,2026-05-13
coumarin,pantoprazole,Minor,May slightly increase INR.,Pantoprazole can inhibit warfarin metabolism.,Monitor INR closely.,1,2026-05-13
advent life sciences llpmethylcobalamin,,,,,,1,2026-05-13
bismuth ammonium citrate,,,,,,1,2026-05-13
belladonna dry extract,amitriptyline,Moderate,"Increased anticholinergic effects like dry mouth, blurred vision, constipation, and urinary retention.","Both drugs possess anticholinergic properties, leading to additive effects on muscarinic receptors.",Monitor for increased anticholinergic side effects. Consider dose adjustment of one or both agents.,1,2026-05-13
belladonna dry extract,haloperidol,Moderate,"Increased risk of anticholinergic side effects, potentially masking extrapyramidal symptoms.",Additive anticholinergic activity.,Monitor for anticholinergic effects. Use with caution and observe for reduced efficacy of haloperidol in controlling psychosis.,1,2026-05-13
belladonna dry extract,clozapine,Moderate,Increased risk of anticholinergic side effects and potentially ileus.,Additive anticholinergic activity.,Monitor closely for anticholinergic effects and signs of paralytic ileus. Use cautiously.,1,2026-05-13
belladonna dry extract,lorazepam,Minor,"May enhance CNS depressant effects, leading to increased drowsiness and sedation.",Additive sedative effects.,Monitor for excessive sedation. Advise patient to avoid activities requiring alertness.,1,2026-05-13
belladonna dry extract,diazepam,Minor,"May enhance CNS depressant effects, leading to increased drowsiness and sedation.",Additive sedative effects.,Monitor for excessive sedation. Advise patient to avoid activities requiring alertness.,1,2026-05-13
belladonna dry extract,alprazolam,Minor,"May enhance CNS depressant effects, leading to increased drowsiness and sedation.",Additive sedative effects.,Monitor for excessive sedation. Advise patient to avoid activities requiring alertness.,1,2026-05-13
belladonna dry extract,clonazepam,Minor,"May enhance CNS depressant effects, leading to increased drowsiness and sedation.",Additive sedative effects.,Monitor for excessive sedation. Advise patient to avoid activities requiring alertness.,1,2026-05-13
belladonna dry extract,midazolam,Minor,"May enhance CNS depressant effects, leading to increased drowsiness and sedation.",Additive sedative effects.,Monitor for excessive sedation. Advise patient to avoid activities requiring alertness.,1,2026-05-13
belladonna dry extract,zolpidem,Minor,"May enhance CNS depressant effects, leading to increased drowsiness and sedation.",Additive sedative effects.,Monitor for excessive sedation. Advise patient to avoid activities requiring alertness.,1,2026-05-13
methenamine hippurate,"sulfonamides (e.g., sulfamethoxazole, although not in list, this is a common interaction)",Major,"Crystalluria and renal damage due to formation of insoluble methenamine precipitate in acidic urine, especially when combined with acidic drugs.","Methenamine requires acidic urine to be hydrolyzed to formaldehyde. Sulfonamides can decrease urine pH, potentially leading to precipitation.",Avoid concurrent use if urine pH cannot be maintained sufficiently acidic for methenamine's action or if patient has renal impairment. Monitor urine pH and renal function.,1,2026-05-13
avant bio sciences llpduloxetine,amitriptyline,Moderate,"Increased risk of serotonin syndrome, especially with higher doses.","Both drugs are serotonergic, increasing the risk of excessive serotonin activity.",,1,2026-05-13
avant bio sciences llpduloxetine,tramadol,Moderate,Increased risk of serotonin syndrome.,Both drugs are serotonergic.,Monitor for signs and symptoms of serotonin syndrome. Use with caution.,1,2026-05-13
avant bio sciences llpduloxetine,codeine,Moderate,"Increased risk of serotonin syndrome. Duloxetine may also inhibit codeine metabolism, potentially altering its effects.",Additive serotonergic effects; potential CYP2D6 inhibition by duloxetine.,Monitor for serotonin syndrome. Use with caution and consider alternative analgesics if necessary.,1,2026-05-13
avant bio sciences llpduloxetine,morphine,Moderate,Increased risk of serotonin syndrome.,Both drugs are serotonergic.,Monitor for signs and symptoms of serotonin syndrome. Use with caution.,1,2026-05-13
avant bio sciences llpduloxetine,clopidogrel,Minor,Increased risk of bleeding due to potential inhibition of platelet aggregation.,Duloxetine can inhibit platelet aggregation.,"Monitor for signs of bleeding. Use with caution, especially if patient has other risk factors for bleeding.",1,2026-05-13
avant bio sciences llpduloxetine,warfarin,Minor,Increased risk of bleeding.,Duloxetine can inhibit platelet aggregation.,Monitor INR closely. Use with caution.,1,2026-05-13
avant bio sciences llpduloxetine,omeprazole,Minor,"May slightly increase duloxetine levels, potentially increasing side effects.","Omeprazole is a CYP1A2 inhibitor, and duloxetine is partly metabolized by CYP1A2.",Monitor for increased duloxetine side effects. Dose adjustments are generally not required but caution is advised.,1,2026-05-13
avant bio sciences llpduloxetine,fluoxetine,Major,Significantly increased risk of serotonin syndrome.,"Both are SSRIs/SNRIs, leading to substantial increase in serotonin levels.","Avoid concurrent use. If necessary, use with extreme caution, lower doses, and frequent monitoring for serotonin syndrome.",1,2026-05-13
avant bio sciences llpduloxetine,sertraline,Major,Significantly increased risk of serotonin syndrome.,"Both are SSRIs/SNRIs, leading to substantial increase in serotonin levels.","Avoid concurrent use. If necessary, use with extreme caution, lower doses, and frequent monitoring for serotonin syndrome.",1,2026-05-13
aluminium phosphate,omeprazole,Minor,"Reduced absorption of omeprazole, potentially decreasing its efficacy.","Aluminum-containing antacids can bind to proton pump inhibitors, reducing their bioavailability.",Separate administration by at least 2 hours. Monitor for symptoms of GERD or peptic ulcer disease.,1,2026-05-13
aluminium phosphate,pantoprazole,Minor,"Reduced absorption of pantoprazole, potentially decreasing its efficacy.","Aluminum-containing antacids can bind to proton pump inhibitors, reducing their bioavailability.",Separate administration by at least 2 hours. Monitor for symptoms of GERD or peptic ulcer disease.,1,2026-05-13
aluminium phosphate,metformin,Minor,May slightly delay or reduce metformin absorption.,"Antacids can alter gastric pH and motility, potentially affecting drug absorption.",Monitor blood glucose levels. Separate administration by at least 2 hours if possible.,1,2026-05-13
aluminium phosphate,atorvastatin,Minor,"Reduced absorption of atorvastatin, potentially decreasing its efficacy.","Antacids can bind to statins, reducing their absorption.",Separate administration by at least 2 hours. Monitor lipid levels.,1,2026-05-13
aluminium phosphate,rosuvastatin,Minor,"Reduced absorption of rosuvastatin, potentially decreasing its efficacy.","Antacids can bind to statins, reducing their absorption.",Separate administration by at least 2 hours. Monitor lipid levels.,1,2026-05-13
aluminium phosphate,ciprofloxacin,Moderate,"Significantly reduced absorption of ciprofloxacin, leading to decreased efficacy and potential treatment failure.","Aluminum ions chelate with fluoroquinolones, forming insoluble complexes that are not absorbed.",Avoid concurrent administration. Separate administration by at least 4 hours before or 8 hours after ciprofloxacin. Monitor for signs of infection.,1,2026-05-13
aluminium phosphate,digoxin,Minor,"May decrease absorption of digoxin, leading to reduced efficacy.",Aluminum-containing antacids can affect GI motility and absorption.,Monitor digoxin levels and for signs of therapeutic failure. Separate administration by at least 2 hours.,1,2026-05-13
aluminium phosphate,"levothyroxine (though not on list, a common interaction)",Major,"Significantly reduced absorption of levothyroxine, leading to hypothyroidism.","Aluminum hydroxide binds to levothyroxine, reducing its absorption.",Separate administration of levothyroxine by at least 4 hours from aluminum-containing products. Monitor thyroid function tests.,1,2026-05-13
recombinant folliclestimulating hormone,,,,,,1,2026-05-13
hormone recombinant human luteinizing hormone/lutropin alfa,,,,,,1,2026-05-13
limitedcefpirome,"aminoglycosides (e.g., gentamicin, tobramycin - not on list, but common interaction)",Major,Increased risk of nephrotoxicity and ototoxicity.,Cefpirome and aminoglycosides can have additive nephrotoxic effects.,Monitor renal function and auditory function closely. Consider dose adjustments or alternative therapy if indicated.,1,2026-05-13
limitedcefpirome,furosemide,Moderate,Increased risk of nephrotoxicity.,Cefpirome and potent diuretics can have additive nephrotoxic effects.,Monitor renal function closely. Use with caution.,1,2026-05-13
diltiazem topical,amlodipine,Moderate,Increased risk of hypotension and bradycardia.,"Both are calcium channel blockers, leading to additive effects on cardiac contractility and vascular tone. Topical diltiazem has systemic absorption potential.",Monitor blood pressure and heart rate. Use with caution and consider alternative therapies if significant systemic effects occur.,1,2026-05-13
diltiazem topical,atenolol,Moderate,Increased risk of bradycardia and hypotension.,Additive effects on heart rate and blood pressure. Topical diltiazem has systemic absorption potential.,Monitor heart rate and blood pressure. Use with caution.,1,2026-05-13
diltiazem topical,metoprolol,Moderate,Increased risk of bradycardia and hypotension.,Additive effects on heart rate and blood pressure. Topical diltiazem has systemic absorption potential.,Monitor heart rate and blood pressure. Use with caution.,1,2026-05-13
diltiazem topical,digoxin,Moderate,Increased risk of bradycardia and potentially AV block.,Diltiazem can slow AV nodal conduction. Topical absorption may contribute to systemic effects.,Monitor heart rate and for signs of AV block. Use with caution.,1,2026-05-13
currant life science llptofisopam,alprazolam,Moderate,Increased risk of sedation and CNS depression.,"Both are benzodiazepine receptor agonists, leading to additive sedative effects.",Monitor for excessive sedation and respiratory depression. Advise patient to avoid activities requiring alertness.,1,2026-05-13
currant life science llptofisopam,diazepam,Moderate,Increased risk of sedation and CNS depression.,"Both are benzodiazepine receptor agonists, leading to additive sedative effects.",Monitor for excessive sedation and respiratory depression. Advise patient to avoid activities requiring alertness.,1,2026-05-13
currant life science llptofisopam,lorazepam,Moderate,Increased risk of sedation and CNS depression.,"Both are benzodiazepine receptor agonists, leading to additive sedative effects.",Monitor for excessive sedation and respiratory depression. Advise patient to avoid activities requiring alertness.,1,2026-05-13
currant life science llptofisopam,clonazepam,Moderate,Increased risk of sedation and CNS depression.,"Both are benzodiazepine receptor agonists, leading to additive sedative effects.",Monitor for excessive sedation and respiratory depression. Advise patient to avoid activities requiring alertness.,1,2026-05-13
currant life science llptofisopam,midazolam,Moderate,Increased risk of sedation and CNS depression.,"Both are benzodiazepine receptor agonists, leading to additive sedative effects.",Monitor for excessive sedation and respiratory depression. Advise patient to avoid activities requiring alertness.,1,2026-05-13
currant life science llptofisopam,zolpidem,Moderate,Increased risk of sedation and CNS depression.,"Both are non-benzodiazepine hypnotics acting on GABA-A receptors, leading to additive sedative effects.",Monitor for excessive sedation and respiratory depression. Advise patient to avoid activities requiring alertness.,1,2026-05-13
currant life science llptofisopam,tramadol,Moderate,"Increased risk of CNS depression, including sedation and respiratory depression.",Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression. Use with caution.,1,2026-05-13
currant life science llptofisopam,codeine,Moderate,"Increased risk of CNS depression, including sedation and respiratory depression.",Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression. Use with caution.,1,2026-05-13
currant life science llptofisopam,morphine,Moderate,"Increased risk of CNS depression, including sedation and respiratory depression.",Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression. Use with caution.,1,2026-05-13
currant life science llpflunarizine,amitriptyline,Moderate,"Increased risk of CNS side effects such as sedation, dizziness, and potentially extrapyramidal symptoms.","Both drugs can cause CNS effects. Flunarizine is known to cause extrapyramidal symptoms, and amitriptyline is sedating.","Monitor for increased CNS side effects, especially sedation and movement disorders. Use with caution.",1,2026-05-13
currant life science llpflunarizine,haloperidol,Major,"Increased risk of extrapyramidal symptoms, including parkinsonism and tardive dyskinesia.","Flunarizine can induce extrapyramidal symptoms, and haloperidol is a potent dopamine antagonist with a high risk of EPS. Additive effects are likely.","Avoid concurrent use if possible. If necessary, use with extreme caution and frequent monitoring for EPS. Consider alternative agents.",1,2026-05-13
currant life science llpflunarizine,clozapine,Major,"Increased risk of extrapyramidal symptoms, sedation, and anticholinergic effects.","Flunarizine can cause EPS, and clozapine has a complex pharmacology that can also lead to these symptoms. Additive effects are likely.","Avoid concurrent use if possible. If necessary, use with extreme caution and frequent monitoring for EPS, sedation, and anticholinergic side effects.",1,2026-05-13
currant life science llpflunarizine,diazepam,Minor,"May enhance CNS depressant effects, leading to increased drowsiness and sedation.",Additive sedative effects.,Monitor for excessive sedation. Advise patient to avoid activities requiring alertness.,1,2026-05-13
currant life science llpflunarizine,alprazolam,Minor,"May enhance CNS depressant effects, leading to increased drowsiness and sedation.",Additive sedative effects.,Monitor for excessive sedation. Advise patient to avoid activities requiring alertness.,1,2026-05-13
currant life science llpflunarizine,lorazepam,Minor,"May enhance CNS depressant effects, leading to increased drowsiness and sedation.",Additive sedative effects.,Monitor for excessive sedation. Advise patient to avoid activities requiring alertness.,1,2026-05-13
currant life science llpflunarizine,clonazepam,Minor,"May enhance CNS depressant effects, leading to increased drowsiness and sedation.",Additive sedative effects.,Monitor for excessive sedation. Advise patient to avoid activities requiring alertness.,1,2026-05-13
currant life science llpflunarizine,midazolam,Minor,"May enhance CNS depressant effects, leading to increased drowsiness and sedation.",Additive sedative effects.,Monitor for excessive sedation. Advise patient to avoid activities requiring alertness.,1,2026-05-13
currant life science llpflunarizine,zolpidem,Minor,"May enhance CNS depressant effects, leading to increased drowsiness and sedation.",Additive sedative effects.,Monitor for excessive sedation. Advise patient to avoid activities requiring alertness.,1,2026-05-13
lidocaine/lignocaine,,,,,,1,2026-05-13
remington life sciences llplevocetirizine,alprazolam,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment or alternative.,1,2026-05-13
remington life sciences llplevocetirizine,diazepam,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment or alternative.,1,2026-05-13
remington life sciences llplevocetirizine,lorazepam,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment or alternative.,1,2026-05-13
remington life sciences llplevocetirizine,midazolam,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment or alternative.,1,2026-05-13
remington life sciences llplevocetirizine,zolpidem,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment or alternative.,1,2026-05-13
remington life sciences llplevocetirizine,clonazepam,Moderate,Increased sedation and respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment or alternative.,1,2026-05-13
remington life sciences llplevocetirizine,codeine,Moderate,Increased sedation and potential for respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment or alternative.,1,2026-05-13
remington life sciences llplevocetirizine,morphine,Moderate,Increased sedation and potential for respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment or alternative.,1,2026-05-13
remington life sciences llplevocetirizine,tramadol,Moderate,Increased sedation and potential for respiratory depression.,Additive CNS depressant effects.,Monitor for increased sedation and respiratory depression; consider dose adjustment or alternative.,1,2026-05-13
dredhas organics,,,,,,1,2026-05-13
endoxifen,,,,,,1,2026-05-13
live attenuated varicella-zoster virus,prednisolone,Major,Decreased efficacy of the vaccine and increased risk of disseminated infection.,Immunosuppression by corticosteroids reduces the immune response to the live vaccine.,Avoid concurrent use; defer vaccination until immunosuppressive therapy is discontinued or at a sufficiently low dose.,1,2026-05-13
